track_id,title,artist,bpm,camelot_key,genre,label,lastfm_tags
t001,Glue,Bicep,130,7A,UK Techno,Ninja Tune,"uk techno,melodic,belfast"
t002,Two Thousand and Seventeen,Four Tet,128,9A,Electronic,Text Records,"electronic,idm,minimal"
t003,Flatlife,Objekt,135,11A,Techno,Hessle Audio,"techno,berlin,dj tool"
t004,Silhouettes I II III,Floating Points,126,10A,Electronic,Pluto,"electronic,ambient,melodic"
t005,Arpo,Call Super,132,8B,Techno,Hessle Audio,"techno,experimental,uk"
t006,Apricots,Bicep,128,6A,Electronic,Ninja Tune,"electronic,melodic,uk"
t007,Baby,Four Tet,130,8A,Electronic,Text Records,"electronic,house,minimal"
t008,Needle and Thread,Objekt,138,12A,Techno,Hessle Audio,"techno,berlin,hard"
t009,Shower Me With Your Love,Floating Points,124,9B,House,Pluto,"house,soul,electronic"
t010,Suzi Ecto,Call Super,130,7B,Techno,Hessle Audio,"techno,experimental,melodic"
t011,LFO,LFO,126,5A,Techno,Warp,"techno,rave,classic"
t012,Spastik,Plastikman,138,11B,Techno,NovaMute,"techno,minimal,detroit"
t013,Strings of Life,Derrick May,127,10B,Detroit Techno,Transmat,"detroit techno,classic,house"
t014,Sandstorms,Mr Fingers,120,2A,Deep House,Trax,"deep house,chicago,classic"
t015,Can You Feel It,Larry Heard,121,3A,Deep House,Trax,"deep house,chicago,soulful"
t016,Windowlicker,Aphex Twin,124,4B,IDM,Warp,"idm,electronic,experimental"
t017,Teardrop,Massive Attack,138,5B,Trip Hop,Virgin,"trip hop,electronic,vocal"
t018,Flim,Aphex Twin,186,6B,IDM,Warp,"idm,ambient,electronic"
t019,Hyph Mngo,Joy Orbison,128,8A,UK Garage,Hotflush,"uk garage,bass,electronic"
t020,Untitled 7,Joy Orbison,130,9A,Techno,Hotflush,"techno,melodic,uk"
